2021-01-04 21:24:45.5237|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
2021-01-04 21:56:51.4109|0|Potres.Dal.QueryHandlers.HelpFieldsQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpId, Object) to Int32 in HelpFields |url: https://localhost/HelpFields?filter=HelpId(=)undefined|action: GetAll|GET 
2021-01-04 21:57:53.3864|0|Potres.Dal.QueryHandlers.HelpFieldsQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpId, Object) to Int32 in HelpFields |url: https://localhost/HelpFields?filter=HelpId(=)undefined|action: GetAll|GET 
2021-01-04 22:19:12.8000|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)undefined|action: GetAll|GET 
2021-01-04 22:19:27.6512|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)undefined|action: GetAll|GET 
2021-01-04 22:19:42.4284|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)undefined|action: GetAll|GET 
2021-01-04 22:19:42.4996|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)undefined|action: GetAll|GET 
2021-01-04 22:19:57.5197|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value undefined for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)undefined|action: GetAll|GET 
2021-01-04 22:23:12.6890|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value [object Object] for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)[object Object]|action: GetAll|GET 
2021-01-04 22:23:27.4505|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value [object Object] for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)[object Object]|action: GetAll|GET 
2021-01-04 22:23:42.1886|0|Potres.Dal.QueryHandlers.PropertyQueryHandler|WARN|  Cannot convert value [object Object] for field a => Convert(a.HelpCategoryId, Object) to Int32 in Property |url: https://localhost/Property?filter=HelpCategoryId(=)[object Object]|action: GetAll|GET 
2021-01-04 22:47:11.1916|0|Potres.WebApi.Program|DEBUG|  init main |url: ?|action: | 
